PG.MolecularWeight	PG.ProteinGroups	PG.Genes	PG.ProteinDescriptions	PG.NrOfStrippedSequencesIdentified (Experiment-wide)	PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.Completeness	[1] AST_260331_115.raw.PG.NrOfStrippedSequencesUsedForQuantification	[2] AST_260331_116.raw.PG.NrOfStrippedSequencesUsedForQuantification	[3] AST_260331_117.raw.PG.NrOfStrippedSequencesUsedForQuantification	[4] AST_260331_118.raw.PG.NrOfStrippedSequencesUsedForQuantification	[5] AST_260331_119.raw.PG.NrOfStrippedSequencesUsedForQuantification	[6] AST_260331_120.raw.PG.NrOfStrippedSequencesUsedForQuantification	[7] AST_260331_121.raw.PG.NrOfStrippedSequencesUsedForQuantification	[8] AST_260331_125.raw.PG.NrOfStrippedSequencesUsedForQuantification	[9] AST_260331_126.raw.PG.NrOfStrippedSequencesUsedForQuantification	[10] AST_260331_127.raw.PG.NrOfStrippedSequencesUsedForQuantification	[11] AST_260331_128.raw.PG.NrOfStrippedSequencesUsedForQuantification	[12] AST_260331_129.raw.PG.NrOfStrippedSequencesUsedForQuantification	[13] AST_260331_130.raw.PG.NrOfStrippedSequencesUsedForQuantification	[14] AST_260331_131.raw.PG.NrOfStrippedSequencesUsedForQuantification	[15] AST_260331_134.raw.PG.NrOfStrippedSequencesUsedForQuantification	[16] AST_260331_135.raw.PG.NrOfStrippedSequencesUsedForQuantification	[17] AST_260331_136.raw.PG.NrOfStrippedSequencesUsedForQuantification	[18] AST_260331_137.raw.PG.NrOfStrippedSequencesUsedForQuantification	[19] AST_260331_138.raw.PG.NrOfStrippedSequencesUsedForQuantification	[20] AST_260331_139.raw.PG.NrOfStrippedSequencesUsedForQuantification	[21] AST_260331_140.raw.PG.NrOfStrippedSequencesUsedForQuantification	[22] AST_260331_142.raw.PG.NrOfStrippedSequencesUsedForQuantification	[23] AST_260331_143.raw.PG.NrOfStrippedSequencesUsedForQuantification	[24] AST_260331_144.raw.PG.NrOfStrippedSequencesUsedForQuantification	[25] AST_260331_148.raw.PG.NrOfStrippedSequencesUsedForQuantification	[26] AST_260331_149.raw.PG.NrOfStrippedSequencesUsedForQuantification	[27] AST_260331_152.raw.PG.NrOfStrippedSequencesUsedForQuantification	[28] AST_260331_153.raw.PG.NrOfStrippedSequencesUsedForQuantification	[29] AST_260331_157.raw.PG.NrOfStrippedSequencesUsedForQuantification	[30] AST_260331_158.raw.PG.NrOfStrippedSequencesUsedForQuantification	[31] AST_260331_161.raw.PG.NrOfStrippedSequencesUsedForQuantification	[32] AST_260331_162.raw.PG.NrOfStrippedSequencesUsedForQuantification	[33] AST_260331_163.raw.PG.NrOfStrippedSequencesUsedForQuantification	[34] AST_260331_164.raw.PG.NrOfStrippedSequencesUsedForQuantification	[35] AST_260331_165.raw.PG.NrOfStrippedSequencesUsedForQuantification	[36] AST_260331_166.raw.PG.NrOfStrippedSequencesUsedForQuantification	[37] AST_260331_167.raw.PG.NrOfStrippedSequencesUsedForQuantification	[38] AST_260407_008.raw.PG.NrOfStrippedSequencesUsedForQuantification	[39] AST_260407_009.raw.PG.NrOfStrippedSequencesUsedForQuantification	[40] AST_260407_010.raw.PG.NrOfStrippedSequencesUsedForQuantification	[41] AST_260407_011.raw.PG.NrOfStrippedSequencesUsedForQuantification	[42] AST_260407_012.raw.PG.NrOfStrippedSequencesUsedForQuantification	[43] AST_260407_014.raw.PG.NrOfStrippedSequencesUsedForQuantification	[44] AST_260407_015.raw.PG.NrOfStrippedSequencesUsedForQuantification	[45] AST_260407_016.raw.PG.NrOfStrippedSequencesUsedForQuantification	[46] AST_260407_017.raw.PG.NrOfStrippedSequencesUsedForQuantification	[47] AST_260407_018.raw.PG.NrOfStrippedSequencesUsedForQuantification	[48] AST_260407_019.raw.PG.NrOfStrippedSequencesUsedForQuantification	[1] AST_260331_115.raw.PG.MS2Quantity	[2] AST_260331_116.raw.PG.MS2Quantity	[3] AST_260331_117.raw.PG.MS2Quantity	[4] AST_260331_118.raw.PG.MS2Quantity	[5] AST_260331_119.raw.PG.MS2Quantity	[6] AST_260331_120.raw.PG.MS2Quantity	[7] AST_260331_121.raw.PG.MS2Quantity	[8] AST_260331_125.raw.PG.MS2Quantity	[9] AST_260331_126.raw.PG.MS2Quantity	[10] AST_260331_127.raw.PG.MS2Quantity	[11] AST_260331_128.raw.PG.MS2Quantity	[12] AST_260331_129.raw.PG.MS2Quantity	[13] AST_260331_130.raw.PG.MS2Quantity	[14] AST_260331_131.raw.PG.MS2Quantity	[15] AST_260331_134.raw.PG.MS2Quantity	[16] AST_260331_135.raw.PG.MS2Quantity	[17] AST_260331_136.raw.PG.MS2Quantity	[18] AST_260331_137.raw.PG.MS2Quantity	[19] AST_260331_138.raw.PG.MS2Quantity	[20] AST_260331_139.raw.PG.MS2Quantity	[21] AST_260331_140.raw.PG.MS2Quantity	[22] AST_260331_142.raw.PG.MS2Quantity	[23] AST_260331_143.raw.PG.MS2Quantity	[24] AST_260331_144.raw.PG.MS2Quantity	[25] AST_260331_148.raw.PG.MS2Quantity	[26] AST_260331_149.raw.PG.MS2Quantity	[27] AST_260331_152.raw.PG.MS2Quantity	[28] AST_260331_153.raw.PG.MS2Quantity	[29] AST_260331_157.raw.PG.MS2Quantity	[30] AST_260331_158.raw.PG.MS2Quantity	[31] AST_260331_161.raw.PG.MS2Quantity	[32] AST_260331_162.raw.PG.MS2Quantity	[33] AST_260331_163.raw.PG.MS2Quantity	[34] AST_260331_164.raw.PG.MS2Quantity	[35] AST_260331_165.raw.PG.MS2Quantity	[36] AST_260331_166.raw.PG.MS2Quantity	[37] AST_260331_167.raw.PG.MS2Quantity	[38] AST_260407_008.raw.PG.MS2Quantity	[39] AST_260407_009.raw.PG.MS2Quantity	[40] AST_260407_010.raw.PG.MS2Quantity	[41] AST_260407_011.raw.PG.MS2Quantity	[42] AST_260407_012.raw.PG.MS2Quantity	[43] AST_260407_014.raw.PG.MS2Quantity	[44] AST_260407_015.raw.PG.MS2Quantity	[45] AST_260407_016.raw.PG.MS2Quantity	[46] AST_260407_017.raw.PG.MS2Quantity	[47] AST_260407_018.raw.PG.MS2Quantity	[48] AST_260407_019.raw.PG.MS2Quantity
40368.58	P38852	LIN1	Protein LIN1	11	U4/U6 x U5 tri-snRNP complex,chromatin,nucleus,U5 snRNP	mRNA splicing, via spliceosome,biological_process	protein binding	100	6	6	7	6	7	8	7	5	8	8	8	9	9	8	6	9	9	10	9	10	8	6	8	8	9	9	8	9	7	8	6	9	6	8	8	8	8	7	10	9	9	7	9	8	9	9	8	8	724.595947265625	879.5991821289062	1111.41748046875	1366.9237060546875	1207.1605224609375	1282.947998046875	1050.593994140625	925.8377685546875	1037.274658203125	1821.1357421875	1056.3961181640625	1172.98974609375	1115.149169921875	1316.052734375	877.1582641601562	979.7792358398438	1842.46826171875	1084.7794189453125	1187.74609375	1322.578369140625	1681.8961181640625	953.124755859375	1168.58837890625	1471.1326904296875	1939.220703125	1585.5765380859375	1078.2293701171875	1562.9285888671875	1523.0465087890625	1407.7108154296875	1068.511474609375	1476.611083984375	1264.587158203125	1778.654052734375	1758.8077392578125	1702.157470703125	1630.9007568359375	1144.6614990234375	1485.1962890625	993.9683227539062	1423.94384765625	969.2894287109375	1671.646240234375	1088.484619140625	1744.1500244140625	1704.9375	1391.679931640625	1777.460205078125
131093.92	P38853	KEL1	Kelch repeat-containing protein 1	67	cytoplasm,cell cortex of cell tip,prospore membrane,cellular bud tip,cellular bud neck,cell cortex,mating projection tip,Kelch-containing formin regulatory complex	cytogamy,negative regulation of exit from mitosis,signal transduction,regulation of cell shape,regulation of cytokinesis,regulation of vesicle-mediated transport,establishment or maintenance of bipolar cell polarity,negative regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion,regulation of formin-nucleated actin cable assembly	protein binding,identical protein binding,protein anchor	100	52	55	46	46	54	56	51	58	53	38	54	56	59	52	58	52	43	55	58	56	52	54	56	57	56	58	55	59	56	59	59	57	50	57	58	59	57	54	53	54	46	54	60	57	56	60	54	58	5040.587890625	4902.59521484375	4495.33056640625	4077.340087890625	5116.48828125	4952.8896484375	5081.80078125	4968.49169921875	4302.13720703125	4393.8583984375	5195.228515625	5357.775390625	5218.00341796875	4739.33154296875	4954.22705078125	4390.44775390625	4574.7646484375	5247.05712890625	5145.70947265625	5128.6708984375	4711.32275390625	5025.63720703125	5447.44091796875	5736.9130859375	7010.44775390625	6120.404296875	5239.61328125	5567.72216796875	7018.5576171875	6076.8095703125	5658.41064453125	5746.34033203125	4763.94287109375	6893.97314453125	6722.69482421875	6997.45458984375	6119.93310546875	5077.6416015625	5202.25	5267.79833984375	4567.49951171875	5497.69189453125	6628.81494140625	5394.5009765625	6477.5947265625	6681.96240234375	4531.62451171875	6660.70068359375
56313.85	P38854	TDA11	Topoisomerase I damage affected protein 11	16	cytoplasm	biological_process	molecular_function	100	5	8	6	5	8	8	9	10	5	8	9	10	13	13	9	5	7	10	7	8	8	6	7	6	6	9	5	7	6	7	6	8	5	8	8	6	10	9	8	5	8	9	9	8	8	11	11	9	657.414794921875	561.0215454101562	499.3445129394531	546.1001586914062	551.5296020507812	618.0771484375	590.7384643554688	612.2743530273438	490.0154724121094	711.6455078125	505.906494140625	585.4004516601562	645.98974609375	769.3711547851562	567.5004272460938	469.0837097167969	989.3773193359375	507.1713562011719	610.8179931640625	612.9736328125	638.0206298828125	563.9157104492188	555.9844970703125	569.2543334960938	537.518798828125	728.2386474609375	600.0964965820312	579.3056640625	586.7124633789062	781.501220703125	507.3016052246094	604.2424926757812	665.6392211914062	647.4271240234375	682.4658203125	721.1649169921875	692.7613525390625	486.7079772949219	664.1591186523438	567.868408203125	669.2268676757812	671.3953857421875	535.8052368164062	656.4194946289062	630.8143920898438	659.2138671875	651.9857177734375	627.37109375
71660.05	P38856	YAP1801	Clathrin coat assembly protein AP180A	10	clathrin-coated pit,clathrin-coated vesicle,prospore membrane,cytoplasm,plasma membrane,cellular bud,cellular bud neck	endocytosis,membrane budding,clathrin coat assembly,clathrin-dependent endocytosis	SNARE binding,protein binding,phospholipid binding,1-phosphatidylinositol binding,phosphatidylinositol-4,5-bisphosphate binding,clathrin binding,clathrin heavy chain binding	100	7	8	8	8	7	8	7	8	8	8	8	8	8	7	8	8	7	8	8	7	8	6	8	8	8	7	7	8	8	8	9	9	7	9	8	7	8	8	8	7	8	8	8	7	9	9	8	8	2652.271728515625	2300.984130859375	2406.962158203125	2302.209228515625	1956.7874755859375	2053.3984375	2040.8037109375	2402.135009765625	2206.92138671875	3037.19970703125	2127.404052734375	2229.40966796875	2102.62890625	2101.584716796875	2360.83984375	2241.81787109375	2911.09619140625	2173.7177734375	2200.473388671875	2102.025634765625	2273.90576171875	2811.0478515625	2984.2138671875	4901.83984375	5204.89501953125	5384.6767578125	3128.078857421875	4900.48681640625	5511.560546875	5246.630859375	3118.91015625	4588.81591796875	4793.09619140625	4998.22021484375	5103.828125	5202.31201171875	5225.20947265625	2388.0361328125	4684.001953125	2272.384765625	5229.900390625	3101.2939453125	4656.71533203125	3749.40869140625	4533.9814453125	4650.55517578125	1955.064453125	4459.4130859375
14554.83	P38857	MPC2	Mitochondrial pyruvate carrier 2	5	mitochondrial inner membrane,mitochondrion,Requires Ontology	mitochondrial pyruvate transport	protein binding,pyruvate transmembrane transporter activity	91.7	3	2	0	4	3	3	2	0	2	2	2	2	3	3	0	2	2	2	2	3	0	4	4	5	4	4	4	5	4	4	4	4	4	4	4	4	4	3	5	3	5	4	4	4	5	4	4	5	746.1541748046875	505.5180358886719	NaN	2211.084228515625	941.7233276367188	814.8736572265625	825.62841796875	NaN	856.4393310546875	850.8025512695312	550.1044311523438	568.6890258789062	557.66064453125	774.7234497070312	NaN	724.2866821289062	734.7265014648438	843.0767211914062	621.2953491210938	611.7301635742188	NaN	8331.6689453125	2100.36376953125	7935.78125	5182.20556640625	9245.99609375	3041.89453125	8807.765625	4890.88134765625	8276.0087890625	4486.92333984375	8668.7880859375	12082.9833984375	4583.09033203125	4374.52880859375	5103.4052734375	8418.7509765625	605.8067626953125	13929.5537109375	780.9088745117188	15749.1318359375	11297.0419921875	6928.97412109375	12416.357421875	8072.546875	6240.05224609375	1190.7054443359375	7869.83642578125
27784.49	P38858	SOL3	6-phosphogluconolactonase 3	16	cytosol,nucleus,cytoplasm	carbohydrate metabolic process,pentose-phosphate shunt,pentose-phosphate shunt, oxidative branch	6-phosphogluconolactonase activity	100	15	15	15	14	15	15	15	16	15	14	15	15	15	15	16	15	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	14	15	14	15	15	15	15	15	15	15	27559.314453125	46458.1015625	32094.62890625	26946.982421875	30084.12109375	31973.703125	31628.154296875	44772.97265625	32701.986328125	33691.15625	30615.67578125	32346.40625	31065.34375	30941.25	48845.5078125	31721.119140625	31221.12890625	31684.13671875	30723.837890625	32021.66796875	32876.0234375	19227.771484375	28415.322265625	16570.953125	14422.587890625	14270.353515625	27889.15234375	15267.4423828125	14101.9150390625	13955.6552734375	26749.29296875	13587.5986328125	17036.29296875	14446.201171875	13420.201171875	14270.0029296875	14440.26953125	26074.759765625	15026.1982421875	26621.20703125	16218.244140625	19006.27734375	15251.0146484375	18031.34765625	15238.9677734375	14409.9658203125	32234.228515625	14914.033203125
171694.43	P38859	DNA2	DNA replication ATP-dependent helicase/nuclease DNA2	43	cytoplasm,chromosome, telomeric region,nucleus,chromosome,cytosol,site of double-strand break	meiotic DNA double-strand break processing,telomere maintenance,DNA double-strand break processing,DNA-dependent DNA replication,lagging strand elongation,DNA repair,double-strand break repair,cellular response to DNA damage stimulus,mitotic DNA replication checkpoint,replication fork reversal	single-stranded DNA endodeoxyribonuclease activity,four-way junction DNA binding,DNA helicase activity,RNA binding,helicase activity,nuclease activity,protein binding,ATPase activity,5'-flap endonuclease activity,single-stranded DNA-dependent ATP-dependent DNA helicase activity,DNA hairpin binding,5'-3' DNA helicase activity,protein serine/threonine kinase activator activity,4 iron, 4 sulfur cluster binding,Requires Ontology	100	5	12	15	15	17	10	8	19	11	12	8	19	15	11	5	13	14	18	14	13	13	6	10	11	16	15	9	11	9	12	12	22	9	12	15	13	17	9	15	8	11	11	21	16	12	22	19	20	814.0410766601562	901.8987426757812	1086.6807861328125	1323.89013671875	916.4596557617188	1106.18115234375	1171.275634765625	991.083984375	1039.7607421875	991.7394409179688	948.7232666015625	1010.0001831054688	1061.6767578125	1050.113525390625	880.6972045898438	1062.0423583984375	1263.422119140625	1148.9007568359375	860.3932495117188	1083.42041015625	1112.7537841796875	975.1918334960938	934.3779907226562	1056.4619140625	1180.5030517578125	1353.8892822265625	969.93408203125	1094.8883056640625	1036.3759765625	1262.3316650390625	1002.3207397460938	1348.653564453125	1291.09033203125	1283.593994140625	1162.3912353515625	1422.5677490234375	1344.99951171875	900.1409301757812	1164.41064453125	1018.0648193359375	1298.149658203125	979.0472412109375	1203.96435546875	1014.7033081054688	1208.726318359375	1194.4769287109375	1097.97998046875	1208.0362548828125
57847.17	P38860	MTG2	GTPase MTG2, mitochondrial	20	mitochondrion,mitochondrial inner membrane	mitochondrial large ribosomal subunit assembly	magnesium ion binding,GTPase activity,GTP binding,ribosome binding	100	6	9	8	12	9	11	10	12	9	11	8	13	9	10	7	10	10	10	12	14	12	8	10	13	10	8	11	10	12	8	10	12	13	12	7	9	9	9	12	9	9	14	11	10	8	10	11	11	929.259033203125	1171.698974609375	1053.76708984375	1288.1759033203125	1308.9068603515625	1274.549560546875	1138.947021484375	967.4006958007812	1117.776611328125	1189.123291015625	1404.0911865234375	1270.916259765625	1141.3134765625	1280.8658447265625	1267.25	1160.9404296875	1249.427490234375	1291.9310302734375	1412.4991455078125	1092.0748291015625	1006.879150390625	1527.646240234375	1739.130615234375	1262.1910400390625	1266.893310546875	1354.2357177734375	1552.6981201171875	1196.16259765625	1234.208251953125	1239.291748046875	1513.3087158203125	1463.599365234375	1321.206298828125	1204.9244384765625	1166.1910400390625	1219.8199462890625	1077.3074951171875	798.2708129882812	1555.6109619140625	856.9361572265625	1525.638916015625	1412.0184326171875	1303.416015625	1427.418701171875	1151.1192626953125	1256.69287109375	1077.3424072265625	1356.8843994140625
59095.2	P38861	NMD3	60S ribosomal export protein NMD3	21	nucleus,cytoplasm,nucleoplasm,cytosol	ribosomal large subunit export from nucleus	protein binding,protein binding, bridging,ribosomal large subunit binding,large ribosomal subunit rRNA binding	100	19	19	20	19	20	21	18	21	20	18	20	20	20	18	20	19	18	20	20	20	19	20	18	20	19	18	20	18	18	19	20	19	19	19	20	18	20	18	19	19	20	20	20	19	19	20	20	19	10003.89453125	11200.1142578125	10846.56640625	7673.67529296875	9407.6787109375	10162.158203125	10144.3525390625	10955.2109375	10439.4951171875	8357.947265625	9338.9091796875	9745.0908203125	9989.8349609375	11149.1005859375	10463.8701171875	11045.5068359375	7231.841796875	9750.4599609375	9542.7216796875	9713.8759765625	10581.201171875	8450.3134765625	8319.9892578125	8644.3837890625	6916.56787109375	7992.3056640625	8757.498046875	8209.09765625	6929.05078125	7702.4619140625	8890.15625	8243.3994140625	8435.970703125	6973.59375	6745.09765625	7093.15576171875	7549.763671875	9644.06640625	9174.724609375	9495.5791015625	9289.1220703125	8539.3857421875	7733.298828125	7954.681640625	7981.548828125	7852.7236328125	11158.0576171875	8304.14453125
71428.19	P38862	ATG7	Ubiquitin-like modifier-activating enzyme ATG7	32	pre-autophagosomal structure,cytoplasm,mitochondrion,cytosol,membrane,extrinsic component of pre-autophagosomal structure membrane	autophagosome assembly,mitophagy,macromitophagy,C-terminal protein lipidation,autophagy,cellular response to nitrogen starvation,macroautophagy,lysosomal microautophagy,CVT pathway,protein modification by small protein conjugation,piecemeal microautophagy of nucleus,nucleophagy	protein binding,zinc ion binding,small protein activating enzyme activity,Atg12 activating enzyme activity,Atg8 activating enzyme activity,identical protein binding	100	11	13	14	19	16	14	17	16	17	15	13	16	14	18	15	15	17	17	13	13	12	13	15	22	21	26	14	24	26	28	17	26	22	25	25	22	23	15	29	10	27	22	30	22	28	31	22	26	1318.14794921875	1499.98876953125	1378.0145263671875	2254.015625	1671.614990234375	1742.581787109375	1580.8382568359375	1598.5286865234375	1670.2919921875	2253.902587890625	1612.068359375	1416.7056884765625	1473.175537109375	1776.626708984375	1477.7587890625	1543.04248046875	2101.47802734375	1413.5001220703125	1466.0498046875	1577.5853271484375	1738.3035888671875	1895.211669921875	2198.102783203125	3543.642822265625	3954.008056640625	4622.22802734375	2261.603515625	3891.635009765625	4152.205078125	4818.79736328125	2300.5068359375	4282.873046875	3770.686279296875	4289.04443359375	4387.84326171875	3972.618896484375	4616.48681640625	1341.6971435546875	4591.796875	1371.436767578125	4340.04541015625	2382.684326171875	4340.20263671875	2991.843994140625	4257.181640625	4599.3486328125	1990.722412109375	4291.2109375
96824.86	P38863	SPC97	Spindle pole body component SPC97	37	mitotic spindle pole body,spindle pole,nucleus,microtubule organizing center,spindle pole body,inner plaque of spindle pole body,outer plaque of spindle pole body,gamma-tubulin complex,gamma-tubulin small complex	microtubule cytoskeleton organization,mitotic cell cycle,microtubule nucleation,regulation of microtubule nucleation,cytoplasmic microtubule organization,spindle assembly,meiotic cell cycle	microtubule minus-end binding,protein binding,gamma-tubulin binding	100	20	18	20	12	21	20	18	17	19	14	17	20	24	17	19	21	13	16	18	18	18	18	13	18	21	23	18	14	23	18	21	25	19	22	25	22	22	21	21	19	20	21	26	22	29	27	19	23	1536.237060546875	1419.18115234375	1387.0743408203125	1473.9251708984375	1467.779296875	1464.9329833984375	1427.07373046875	1322.4013671875	1443.9891357421875	1355.2283935546875	1439.874755859375	1353.1513671875	1431.09765625	1414.41845703125	1142.1253662109375	1352.4208984375	1354.5465087890625	1439.237060546875	1479.9296875	1551.887451171875	1384.3170166015625	1617.3798828125	1194.85595703125	1315.3974609375	2131.668212890625	1433.9366455078125	1400.1248779296875	1347.3392333984375	1781.416748046875	1435.2987060546875	1470.3076171875	1401.10498046875	1244.774169921875	1895.76806640625	2070.079345703125	2155.127685546875	1407.4783935546875	1709.5028076171875	1493.3131103515625	1583.59521484375	1342.613525390625	1557.63330078125	2115.1171875	1622.1993408203125	2120.954345703125	2131.439208984375	1416.95703125	2225.98388671875
49098.95	P38866	FMO1	Thiol-specific monooxygenase	19	endoplasmic reticulum membrane,cytosol	protein folding	monooxygenase activity,N,N-dimethylaniline monooxygenase activity,flavin adenine dinucleotide binding,NADP binding	100	12	13	13	12	16	15	15	16	14	14	16	14	14	12	15	14	16	16	16	14	14	15	15	15	12	14	16	14	13	11	17	12	14	13	13	12	13	14	15	13	15	16	14	15	14	14	18	16	2226.54150390625	4715.02734375	3266.421142578125	3106.538330078125	3731.15234375	3833.9951171875	3971.916015625	4440.6669921875	3229.920166015625	4481.05712890625	3784.545654296875	3794.791748046875	3694.347900390625	3602.550537109375	4477.99755859375	3568.758544921875	3722.545654296875	3874.118896484375	4152.4365234375	3731.537353515625	3601.811279296875	3800.3203125	4554.48876953125	3232.82275390625	2709.86328125	2684.6171875	4461.03125	3043.901611328125	2832.732177734375	2781.964111328125	4756.5888671875	2906.257568359375	2997.078369140625	2717.025390625	2542.83056640625	2692.89794921875	2741.4384765625	2444.753173828125	2513.0908203125	2548.33447265625	3151.798095703125	3958.548095703125	2614.705078125	3973.669921875	2509.47900390625	2528.7431640625	3413.3896484375	2792.031005859375
52047.65	P38867	YHR177W	Uncharacterized protein YHR177W	13	nucleus	positive regulation of transcription from RNA polymerase II promoter	DNA binding	100	1	5	5	2	5	5	5	5	5	3	4	4	5	5	5	5	1	5	4	4	4	2	5	6	4	6	5	5	5	5	5	5	5	5	5	5	4	4	5	4	4	3	6	5	5	8	5	4	267.20343017578125	562.0387573242188	439.70281982421875	377.7821960449219	540.6935424804688	483.2228698730469	458.6376037597656	732.1779174804688	363.1650390625	278.63134765625	448.527099609375	542.3016357421875	509.4885559082031	410.3621520996094	687.6178588867188	424.7595520019531	399.2967529296875	567.25439453125	445.91644287109375	373.60235595703125	376.43804931640625	434.70989990234375	921.8353881835938	629.6956787109375	600.6500244140625	720.8104858398438	679.10693359375	693.0629272460938	587.5223999023438	693.3855590820312	765.75830078125	540.4805297851562	473.2010498046875	676.2616577148438	486.35601806640625	528.9686279296875	682.6533203125	313.0901184082031	695.9952392578125	446.6169738769531	614.1072998046875	440.6286926269531	564.08349609375	481.69586181640625	556.2496337890625	531.0980224609375	457.71734619140625	624.3019409179688
18138.58	P38868	YHR180W	Uncharacterized protein YHR180W	2	cellular_component,membrane	biological_process	molecular_function	75	0	1	1	0	2	0	1	1	0	2	1	0	2	0	2	1	2	1	1	2	0	0	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	0	0	1	2	2	2	2	0	2	NaN	455.2037658691406	191.85226440429688	NaN	374.94281005859375	NaN	442.0546875	577.6048583984375	NaN	631.6363525390625	535.0193481445312	NaN	376.9480895996094	NaN	405.47869873046875	205.314697265625	463.6010437011719	410.8395080566406	231.2423858642578	440.99212646484375	NaN	NaN	779.6220092773438	681.9813232421875	1141.5240478515625	613.3017578125	686.8258056640625	598.6073608398438	1053.3251953125	935.6151123046875	561.0714721679688	574.4278564453125	331.86163330078125	1428.7225341796875	1427.060302734375	1255.3336181640625	682.3515625	NaN	564.1088256835938	NaN	NaN	848.15478515625	1141.9256591796875	577.9166259765625	1024.0662841796875	1086.0079345703125	NaN	847.1260375976562
26283.77	P38869	SVP26	Protein SVP26	7	Golgi membrane,endoplasmic reticulum membrane,ER to Golgi transport vesicle,endoplasmic reticulum,Golgi apparatus,membrane	ER to Golgi vesicle-mediated transport,cargo loading into COPII-coated vesicle,fungal-type cell wall organization,protein retention in Golgi apparatus	COPII adaptor activity	100	7	7	7	5	5	6	6	7	6	5	5	5	7	7	6	6	4	5	6	6	7	5	6	6	5	5	6	6	6	6	7	5	7	6	7	5	7	6	7	7	7	6	6	7	5	7	5	6	8209.033203125	7552.9267578125	6589.57958984375	10171.4169921875	7235.56591796875	6758.03076171875	7865.98681640625	7722.3427734375	6516.9267578125	12222.154296875	6815.9462890625	7772.66015625	7251.7666015625	8538.560546875	7503.14501953125	6717.77294921875	12524.615234375	6645.02099609375	7299.39013671875	7627.07470703125	8310.9521484375	7294.1044921875	7344.87060546875	7049.10546875	7765.74560546875	7523.8212890625	6943.1044921875	6780.89453125	7216.51806640625	8228.888671875	7024.9794921875	6963.5654296875	6503.35400390625	7225.15673828125	7887.740234375	7883.927734375	8058.095703125	7953.74755859375	8222.0908203125	7290.3251953125	8600.32421875	7333.09912109375	8380.4287109375	6849.73681640625	7687.646484375	8528.0859375	9370.826171875	7827.1865234375
90109.01	P38870	RGD3	Rho-GTPase-activating protein RGD3	32	plasma membrane,cellular bud,cell cortex,site of polarized growth,cell division site,cell tip,cytoplasm,cellular bud tip,cellular bud neck,cytoplasmic vesicle membrane	establishment or maintenance of cell polarity,signal transduction,small GTPase mediated signal transduction,establishment of cell polarity,septin ring organization,positive regulation of GTPase activity	GTPase activator activity,protein binding	100	5	9	7	5	7	13	6	11	9	2	7	13	8	5	10	5	4	8	10	7	5	5	11	13	14	10	11	8	11	11	16	15	5	13	12	9	18	6	13	7	10	7	13	11	13	22	9	11	762.55615234375	1080.2252197265625	670.4629516601562	527.7315063476562	795.9227294921875	807.1254272460938	735.09130859375	877.158935546875	691.4192504882812	606.843994140625	763.7532348632812	829.3814697265625	892.2673950195312	784.7860107421875	663.9313354492188	1011.4025268554688	422.5919189453125	773.5957641601562	670.3558349609375	781.7483520507812	738.390625	829.6467895507812	1093.2357177734375	1094.185791015625	1334.1951904296875	952.1517944335938	1073.0692138671875	975.2107543945312	1186.040771484375	1001.9454956054688	1146.593017578125	1166.0718994140625	1161.801513671875	1405.9332275390625	1354.927001953125	1285.0880126953125	1168.0325927734375	775.292724609375	1140.1595458984375	806.4786376953125	952.4046630859375	921.1196899414062	1165.4344482421875	960.2128295898438	1255.7392578125	1221.7738037109375	621.1558837890625	1311.8492431640625
177609.21	P38873	KOG1	Target of rapamycin complex 1 subunit KOG1	63	cytoplasm,fungal-type vacuole membrane,mitochondrion,vacuolar membrane,plasma membrane,cytoplasmic stress granule,TORC1 complex	regulation of cell growth,response to nutrient,cellular response to starvation,regulation of autophagy,positive regulation of cell growth,TOR signaling,regulation of cell cycle,cellular response to amino acid stimulus	protein binding,protein binding, bridging,ubiquitin binding	100	41	40	40	44	42	38	31	40	47	29	42	39	39	43	38	42	35	42	43	42	43	37	38	43	36	43	37	43	40	38	39	43	41	41	42	39	43	41	43	41	43	39	48	40	48	48	44	43	2374.66943359375	2382.921875	2395.50341796875	2724.283935546875	2486.72705078125	2381.1904296875	2564.608154296875	2139.61083984375	2509.2607421875	3083.95166015625	2539.836181640625	2420.613525390625	2489.6259765625	2457.03515625	2226.884765625	2545.2724609375	2858.050537109375	2482.1025390625	2571.38916015625	2548.56884765625	2547.83251953125	2364.96875	2300.144287109375	2446.85009765625	2894.58349609375	2614.863525390625	2226.122802734375	2474.35400390625	2878.280029296875	2473.35693359375	2492.51123046875	2778.240234375	2477.18994140625	2890.38232421875	2873.537841796875	2941.525390625	2512.895263671875	2541.427978515625	2837.8681640625	2446.63330078125	2688.97509765625	2545.78955078125	3221.3232421875	2764.153564453125	3030.126953125	3106.312255859375	2559.511474609375	2997.881591796875
